Alpha2Code,Alpha3Code,Numeric,Name,Signed,Implemented
AT,AUT,040,Austria,1995-04-28,1997-12-01
BE,BEL,056,Belgium,1985-06-14,1995-03-26
CZ,CZE,203,Czech Republic,2003-04-16,2007-12-21
DK,DNK,208,Denmark,1996-12-19,2001-03-25
EE,EST,233,Estonia,2003-04-16,2007-12-21
FI,FIN,246,Finland,1996-12-19,2001-03-25
FR,FRA,250,France,1985-06-14,1995-03-26
DE,DEU,276,Germany,1985-06-14,1995-03-26
GR,GRC,300,Greece,1992-11-06,2000-01-01
HU,HUN,348,Hungary,2003-04-16,2007-12-21
IS,ISL,352,Iceland,1996-12-19,2001-03-25
IT,ITA,380,Italy,1990-11-27,1997-10-26
LV,LVA,428,Latvia,2003-04-16,2007-12-21
LI,LIE,438,Liechtenstein,2008-02-28,2011-12-19
LT,LTU,440,Lithuania,2003-04-16,2007-12-21
LU,LUX,442,Luxembourg,1985-06-14,1995-03-26
MT,MLT,470,Malta,2003-04-16,2007-12-21
NL,NLD,528,Netherlands,1985-06-14,1995-03-26
NO,NOR,578,Norway,1996-12-19,2001-03-25
PL,POL,616,Poland,2003-04-16,2007-12-21
PT,PRT,620,Portugal,1991-06-25,1995-03-26
SK,SVK,703,Slovakia,2003-04-16,2007-12-21
SI,SVN,705,Slovenia,2003-04-16,2007-12-21
ES,ESP,724,Spain,1991-06-25,1995-03-26
SE,SWE,752,Sweden,1996-12-19,2001-03-25
CH,CHE,756,Switzerland,2004-10-26,2008-12-12
